Rank,Title,Date,Location,Audience,Fireworks,DetailUrl,Source
"1","隅田川花火大会","2025年夏季","東京都台東区・墨田区","91","20000","","HTML Structure Analysis"
"2","葛飾納涼花火大会","2025年夏季","東京都葛飾区","77","15000","","HTML Structure Analysis"
"3","いたばし花火大会","2025年夏季","東京都板橋区","57","15000","","HTML Structure Analysis"
"4","足立の花火","2025年夏季","東京都足立区","40","14010","","HTML Structure Analysis"
"5","東京競馬場花火","2025年夏季","東京都府中市","","14000","","HTML Structure Analysis"
"6","江戸川区花火大会","2025年夏季","東京都江戸川区","3","14000","","HTML Structure Analysis"
"7","神宮外苑花火大会","2025年夏季","東京都新宿区","100","10000","","HTML Structure Analysis"
"8","調布花火","2025年夏季","東京都調布市","30","10000","","HTML Structure Analysis"
"9","北区花火会","2025年夏季","東京都北区","5","10000","","HTML Structure Analysis"
"10","世田谷区たまがわ花火大会","2025年夏季","東京都世田谷区","31","6000","","HTML Structure Analysis"
